concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
9814	440674	Maps to	19700101	20991231	
9833	40480160	Maps to	19700101	20991231	
9834	40480160	Maps to	19700101	20991231	
9835	40480160	Maps to	19700101	20991231	
9836	40480160	Maps to	19700101	20991231	
9840	40480160	Maps to	19700101	20991231	
9841	40480160	Maps to	19700101	20991231	
9842	40480160	Maps to	19700101	20991231	
9849	40480160	Maps to	19700101	20991231	
9850	40480160	Maps to	19700101	20991231	
9851	40480160	Maps to	19700101	20991231	
9852	40480160	Maps to	19700101	20991231	
9853	40480160	Maps to	19700101	20991231	
9854	40480160	Maps to	19700101	20991231	
9856	40480160	Maps to	19700101	20991231	
9857	40480160	Maps to	19700101	20991231	
9858	40480160	Maps to	19700101	20991231	
9859	40480160	Maps to	19700101	20991231	
9863	40480160	Maps to	19700101	20991231	
9864	40480160	Maps to	19700101	20991231	
9865	40480160	Maps to	19700101	20991231	
9872	40480160	Maps to	19700101	20991231	
9873	40480160	Maps to	19700101	20991231	
9874	40480160	Maps to	19700101	20991231	
9875	40480160	Maps to	19700101	20991231	
9876	40480160	Maps to	19700101	20991231	
9877	40480160	Maps to	19700101	20991231	
10464	378001	Maps to	19700101	20991231	
10471	375671	Maps to	19700101	20991231	
10472	375671	Maps to	19700101	20991231	
10473	375671	Maps to	19700101	20991231	
10574	4132546	Maps to	20171001	20991231	
10575	4132546	Maps to	20171001	20991231	
10576	4132546	Maps to	20171001	20991231	
10577	4132546	Maps to	20171001	20991231	
10578	4132546	Maps to	20171001	20991231	
12201	4237458	Maps to	19700101	20991231	
12202	4237458	Maps to	19700101	20991231	
12203	4237458	Maps to	19700101	20991231	
12794	4155034	Maps to	19700101	20991231	
12795	4155034	Maps to	19700101	20991231	
12796	4155034	Maps to	19700101	20991231	
12992	4278672	Maps to	19700101	20991231	
12993	4278672	Maps to	19700101	20991231	
12994	4278672	Maps to	19700101	20991231	
13177	4155034	Maps to	19700101	20991231	
13178	4155034	Maps to	19700101	20991231	
13179	4155034	Maps to	19700101	20991231	
13180	4155034	Maps to	19700101	20991231	
13181	4155034	Maps to	19700101	20991231	
13182	4155034	Maps to	19700101	20991231	
13183	4155034	Maps to	19700101	20991231	
13199	4155034	Maps to	19700101	20991231	
13200	4155034	Maps to	19700101	20991231	
13201	4155034	Maps to	19700101	20991231	
13237	4155034	Maps to	19700101	20991231	
13238	4155034	Maps to	19700101	20991231	
13239	4155034	Maps to	19700101	20991231	
13240	4155034	Maps to	19700101	20991231	
13241	4155034	Maps to	19700101	20991231	
13242	4155034	Maps to	19700101	20991231	
13243	4155034	Maps to	19700101	20991231	
13259	4155034	Maps to	19700101	20991231	
13260	4155034	Maps to	19700101	20991231	
13261	4155034	Maps to	19700101	20991231	
13271	4155034	Maps to	19700101	20991231	
13272	4155034	Maps to	19700101	20991231	
13273	4155034	Maps to	19700101	20991231	
13283	4155034	Maps to	19700101	20991231	
13284	4155034	Maps to	19700101	20991231	
13285	4155034	Maps to	19700101	20991231	
13712	4113008	Maps to	19700101	20991231	
13713	4113008	Maps to	19700101	20991231	
13714	4113008	Maps to	19700101	20991231	
13715	4113008	Maps to	19700101	20991231	
13716	4113008	Maps to	19700101	20991231	
13717	4113008	Maps to	19700101	20991231	
14267	78272	Maps to	19700101	20991231	
14268	78272	Maps to	19700101	20991231	
14269	78272	Maps to	19700101	20991231	
14276	78272	Maps to	19700101	20991231	
14277	78272	Maps to	19700101	20991231	
14278	78272	Maps to	19700101	20991231	
14620	4113008	Maps to	20171001	20991231	
14621	4113008	Maps to	20171001	20991231	
14622	4113008	Maps to	20171001	20991231	
14632	4113008	Maps to	20171001	20991231	
14633	4113008	Maps to	20171001	20991231	
14634	4113008	Maps to	20171001	20991231	
14802	4152936	Maps to	19700101	20991231	
14803	4152936	Maps to	19700101	20991231	
14804	4152936	Maps to	19700101	20991231	
15114	4152936	Maps to	20171001	20991231	
15115	4152936	Maps to	20171001	20991231	
15116	4152936	Maps to	20171001	20991231	
15126	4152936	Maps to	20171001	20991231	
15127	4152936	Maps to	20171001	20991231	
15128	4152936	Maps to	20171001	20991231	
15138	4152936	Maps to	20171001	20991231	
15139	4152936	Maps to	20171001	20991231	
15140	4152936	Maps to	20171001	20991231	
15150	4152936	Maps to	20171001	20991231	
15151	4152936	Maps to	20171001	20991231	
15152	4152936	Maps to	20171001	20991231	
16098	4109685	Maps to	19700101	20991231	
16099	4109685	Maps to	19700101	20991231	
16100	4109685	Maps to	19700101	20991231	
16101	4109685	Maps to	19700101	20991231	
16102	4109685	Maps to	19700101	20991231	
16103	4109685	Maps to	19700101	20991231	
16372	81151	Maps to	19700101	20991231	
16373	81151	Maps to	19700101	20991231	
16374	81151	Maps to	19700101	20991231	
16383	81151	Maps to	20171001	20991231	
16384	81151	Maps to	19700101	20991231	
16385	81151	Maps to	19700101	20991231	
16386	81151	Maps to	19700101	20991231	
16733	4299128	Maps to	20190325	20991231	
28060	28060	Maps to	19700101	20991231	
28060	28060	Maps to	19700101	20991231	
75036	75036	Maps to	19700101	20991231	
75036	75036	Maps to	19700101	20991231	
78230	80809	Maps to	20190731	20991231	
78272	78272	Maps to	19700101	20991231	
78272	78272	Maps to	19700101	20991231	
79740	79740	Maps to	19700101	20991231	
79740	79740	Maps to	19700101	20991231	
80502	80502	Maps to	19700101	20991231	
80502	80502	Maps to	19700101	20991231	
80809	80809	Maps to	19700101	20991231	
80809	80809	Maps to	19700101	20991231	
81151	81151	Maps to	19700101	20991231	
81151	81151	Maps to	19700101	20991231	
133834	133834	Maps to	19700101	20991231	
133834	133834	Maps to	19700101	20991231	
134438	134438	Maps to	19700101	20991231	
134438	134438	Maps to	19700101	20991231	
137485	40491961	Maps to	19700101	20991231	
137613	137613	Maps to	19700101	20991231	
137613	137613	Maps to	19700101	20991231	
138340	40489907	Maps to	19700101	20991231	
192279	192279	Maps to	19700101	20991231	
192279	192279	Maps to	19700101	20991231	
193591	193591	Maps to	19700101	20991231	
193591	193591	Maps to	19700101	20991231	
195588	195588	Maps to	19700101	20991231	
195588	195588	Maps to	19700101	20991231	
196456	196456	Maps to	19700101	20991231	
196456	196456	Maps to	19700101	20991231	
197500	197500	Maps to	19700101	20991231	
197500	197500	Maps to	19700101	20991231	
198199	198199	Maps to	19700101	20991231	
198199	198199	Maps to	19700101	20991231	
198809	198809	Maps to	19700101	20991231	
198809	198809	Maps to	19700101	20991231	
199076	199076	Maps to	19700101	20991231	
199076	199076	Maps to	19700101	20991231	
200970	200970	Maps to	19700101	20991231	
200970	200970	Maps to	19700101	20991231	
201826	201826	Maps to	19700101	20991231	
201826	201826	Maps to	19700101	20991231	
254761	254761	Maps to	19700101	20991231	
254761	254761	Maps to	19700101	20991231	
255848	255848	Maps to	19700101	20991231	
255848	255848	Maps to	19700101	20991231	
255891	255891	Maps to	19700101	20991231	
255891	255891	Maps to	19700101	20991231	
257012	257012	Maps to	19700101	20991231	
257012	257012	Maps to	19700101	20991231	
258780	258780	Maps to	19700101	20991231	
258780	258780	Maps to	19700101	20991231	
260139	260139	Maps to	19700101	20991231	
260139	260139	Maps to	19700101	20991231	
261325	261325	Maps to	19700101	20991231	
261325	261325	Maps to	19700101	20991231	
261600	261600	Maps to	19700101	20991231	
261600	261600	Maps to	19700101	20991231	
312437	312437	Maps to	19700101	20991231	
312437	312437	Maps to	19700101	20991231	
313217	313217	Maps to	19700101	20991231	
313217	313217	Maps to	19700101	20991231	
317009	317009	Maps to	19700101	20991231	
317009	317009	Maps to	19700101	20991231	
317576	317576	Maps to	19700101	20991231	
317576	317576	Maps to	19700101	20991231	
319049	319049	Maps to	19700101	20991231	
319049	319049	Maps to	19700101	20991231	
320128	320128	Maps to	19700101	20991231	
320128	320128	Maps to	19700101	20991231	
321042	321042	Maps to	19700101	20991231	
321042	321042	Maps to	19700101	20991231	
372328	372328	Maps to	19700101	20991231	
372328	372328	Maps to	19700101	20991231	
375671	375671	Maps to	19700101	20991231	
375671	375671	Maps to	19700101	20991231	
378001	378001	Maps to	19700101	20991231	
378001	378001	Maps to	19700101	20991231	
378419	378419	Maps to	19700101	20991231	
378419	378419	Maps to	19700101	20991231	
380378	380378	Maps to	19700101	20991231	
380378	380378	Maps to	19700101	20991231	
381316	381316	Maps to	19700101	20991231	
381316	381316	Maps to	19700101	20991231	
432284	4282096	Maps to	20180731	20991231	
432867	432867	Maps to	19700101	20991231	
432867	432867	Maps to	19700101	20991231	
433125	433125	Maps to	19700101	20991231	
433125	433125	Maps to	19700101	20991231	
435796	435796	Maps to	19700101	20991231	
435796	435796	Maps to	19700101	20991231	
436096	436096	Maps to	19700101	20991231	
436096	436096	Maps to	19700101	20991231	
436676	436676	Maps to	19700101	20991231	
436676	436676	Maps to	19700101	20991231	
436730	440448	Maps to	19700101	20991231	
436940	436940	Maps to	19700101	20991231	
436940	436940	Maps to	19700101	20991231	
437046	40318618	Maps to	19700101	20991231	
437663	437663	Maps to	19700101	20991231	
437663	437663	Maps to	19700101	20991231	
438130	438130	Maps to	19700101	20991231	
438130	438130	Maps to	19700101	20991231	
439183	4001336	Maps to	20160131	20991231	
439393	439393	Maps to	19700101	20991231	
439393	439393	Maps to	19700101	20991231	
439687	40318618	Maps to	20170731	20991231	
439777	439777	Maps to	19700101	20991231	
439777	439777	Maps to	19700101	20991231	
440086	440086	Maps to	19700101	20991231	
440086	440086	Maps to	19700101	20991231	
440448	440448	Maps to	19700101	20991231	
440448	440448	Maps to	19700101	20991231	
440674	440674	Maps to	19700101	20991231	
440674	440674	Maps to	19700101	20991231	
441267	441267	Maps to	19700101	20991231	
441267	441267	Maps to	19700101	20991231	
442064	196456	Maps to	19700101	20991231	
442065	196456	Maps to	19700101	20991231	
442067	133834	Maps to	20160131	20991231	
443277	443277	Maps to	19700101	20991231	
443277	443277	Maps to	19700101	20991231	
443597	443597	Maps to	20090131	20991231	
443597	443597	Maps to	20090131	20991231	
443601	443601	Maps to	20090131	20991231	
443601	443601	Maps to	20090131	20991231	
443614	443614	Maps to	20090131	20991231	
443614	443614	Maps to	20090131	20991231	
444362	444362	Maps to	19700101	20991231	
444362	444362	Maps to	19700101	20991231	
763689	40480160	Maps to	20190731	20991231	
1326491	201826	Maps to	20190109	20991231	
1326492	201826	Maps to	20180826	20991231	
1326589	4329847	Maps to	20180826	20991231	
1326590	4329847	Maps to	20180826	20991231	
1326591	4329847	Maps to	20180826	20991231	
1326728	199076	Maps to	20180826	20991231	
1326729	199076	Maps to	20180826	20991231	
1326730	199076	Maps to	20180826	20991231	
1567477	197500	Maps to	20190109	20991231	
1567858	439777	Maps to	19700101	20991231	
1567926	192279	Maps to	20171001	20991231	
1567956	201826	Maps to	19700101	20991231	
1567957	201826	Maps to	20171001	20991231	
1567963	43530656	Maps to	19700101	20991231	
1567964	43530685	Maps to	20171001	20991231	
1567967	201826	Maps to	20190109	20991231	
1567970	201826	Maps to	20190109	20991231	
1567971	201826	Maps to	20190109	20991231	
1567975	192279	Maps to	19700101	20991231	
1568074	441267	Maps to	19700101	20991231	
1568107	438130	Maps to	19700101	20991231	
1568108	438130	Maps to	19700101	20991231	
1568109	438130	Maps to	19700101	20991231	
1568110	438130	Maps to	19700101	20991231	
1568217	4282096	Maps to	19700101	20991231	
1568232	436676	Maps to	19700101	20991231	
1568293	378419	Maps to	19700101	20991231	
1568300	380378	Maps to	19700101	20991231	
1568324	380378	Maps to	19700101	20991231	
1568325	380378	Maps to	19700101	20991231	
1568327	380378	Maps to	19700101	20991231	
1568328	380378	Maps to	19700101	20991231	
1568422	436096	Maps to	19700101	20991231	
1568982	372328	Maps to	19700101	20991231	
1568989	372328	Maps to	19700101	20991231	
1568990	372328	Maps to	19700101	20991231	
1569168	321042	Maps to	19700101	20991231	
1569469	255848	Maps to	19700101	20991231	
1569470	260139	Maps to	19700101	20991231	
1569475	257012	Maps to	19700101	20991231	
1569486	261325	Maps to	19700101	20991231	
1569488	317009	Maps to	19700101	20991231	
1569489	317009	Maps to	19700101	20991231	
1569490	317009	Maps to	19700101	20991231	
1569491	317009	Maps to	19700101	20991231	
1569688	196456	Maps to	19700101	20991231	
1569765	133834	Maps to	19700101	20991231	
1569766	133834	Maps to	19700101	20991231	
1569772	134438	Maps to	19700101	20991231	
1569846	255891	Maps to	19700101	20991231	
1569966	80809	Maps to	19700101	20991231	
1569991	80809	Maps to	20171001	20991231	
1570015	80809	Maps to	20191103	20991231	
1570039	80809	Maps to	19700101	20991231	
1570049	80809	Maps to	20190109	20991231	
1570050	80809	Maps to	20190109	20991231	
1570051	80809	Maps to	20190109	20991231	
1570052	80809	Maps to	20190109	20991231	
1570053	80809	Maps to	20190109	20991231	
1570054	80809	Maps to	20190109	20991231	
1570055	80809	Maps to	20190109	20991231	
1570064	80809	Maps to	19700101	20991231	
1570122	440674	Maps to	19700101	20991231	
1570163	440674	Maps to	19700101	20991231	
1570329	4079749	Maps to	19700101	20991231	
1570330	4079749	Maps to	19700101	20991231	
1570333	4079750	Maps to	19700101	20991231	
1570334	4079750	Maps to	19700101	20991231	
1570335	4079750	Maps to	20171001	20991231	
1570345	75036	Maps to	19700101	20991231	
1571068	40480160	Maps to	19700101	20991231	
1571069	40480160	Maps to	19700101	20991231	
1571070	40480160	Maps to	19700101	20991231	
1571072	40480160	Maps to	19700101	20991231	
1571075	40480160	Maps to	19700101	20991231	
1571076	40480160	Maps to	19700101	20991231	
1571077	40480160	Maps to	19700101	20991231	
1571078	40480160	Maps to	19700101	20991231	
1571080	40480160	Maps to	19700101	20991231	
1571083	40480160	Maps to	19700101	20991231	
1571084	40480160	Maps to	19700101	20991231	
1571085	80502	Maps to	19700101	20991231	
1571452	4278672	Maps to	19700101	20991231	
1571495	195588	Maps to	19700101	20991231	
1571501	195588	Maps to	19700101	20991231	
1571502	195588	Maps to	19700101	20991231	
1571614	4188598	Maps to	19700101	20991231	
1571615	4188598	Maps to	20190109	20991231	
1571616	4188598	Maps to	20190109	20991231	
1571617	4188598	Maps to	20190109	20991231	
1571619	4188598	Maps to	20190109	20991231	
1571620	4188598	Maps to	20190109	20991231	
1571621	4188598	Maps to	20190109	20991231	
1571622	4188598	Maps to	20190109	20991231	
1571623	4188598	Maps to	20190109	20991231	
1571624	4188598	Maps to	20190109	20991231	
1571625	4188598	Maps to	20190109	20991231	
1571626	4188598	Maps to	20190109	20991231	
1571627	4188598	Maps to	20190109	20991231	
1571628	4188598	Maps to	20190109	20991231	
1571629	4188598	Maps to	20190109	20991231	
